Review
""
""
""
""
""
""
""
Kashmiri pulao is sweet but this restaurant made it spicy..i had ordered it for my kid now it's if no use
good taste with best spices less oil and bhature is qty very large serves almost 2 persons depends upon happetite
""
""
""
Neer Dosa were extremely saulty and were not eatable
""
Absolutely yum 🤤
""
""
Must try very good quality presentation loved it veg biryani
""
""
30% juice spilled poor packaging.when complained the restaurant didn’t have any interest to improve rather arguing
this time the soup was worst.. didn't like the taste it seems it's
""
""
The food was lesss.
""
""
If you are looking for good South Indian cuisine order from here … eyes closed .. simply the best ..
""
""
""
""
""
""
""
""
""
Sabudana khichdi was not good .There was no salt or spice.No salt at all
""
""
""
""
""
misal pav was delicious thank you chef
""
""
""
""
""
""
""
nice taste and good packaging
""
""
""
""
What a ugly taste of pav bhaji seems it’s no taste just filthy need my money back kindly do not order from here it’s not at all tasting as pave bhaji chi never order from here
I asked for jain biryani ... but the instructions were ignore and no contact number available to call.. found onion in it
I don't think the juice is fresh. It is stinking
we have always ordered from Deepak. but this time sabzi of the masala dosa was almost one fourth the quantity n no taste n for two dosas the chutney was too little. disappointing
""
Ordered Chapati and got a wrong delivery of bread slice
""
""
""
""
The paneer chilly was having some roten smell
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"Hara bhara kabab is very bad
it was just like elastic
stuff parata was full of green chilli
Deepak is not known for it.
we are regular customer of Deepak"
loved the food. very nice packaging and taste is so good.
""
""
